id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
3709400,(2015 BL514),False,0.0319561887,0.0714562102,33732.5697860754,28867796.749063972
3843793,(2019 RM1),False,0.0073207399,0.016369672,29737.17122916,41044467.71322499
2101955,101955 Bennu (1999 RQ36),True,0.2412986969,0.5395602892,60826.6774695488,58574507.31152992
3693428,(2014 UR),False,0.0127219879,0.0284472297,55529.011697328,70813589.4000307
3708359,(2015 BK509),False,0.0896509666,0.2004656557,52390.1449754194,3600240.186445891
2455176,455176 (1999 VF22),True,0.191670368,0.428587972,84997.015272041,10466234.711724248
3136735,(2002 SQ),False,0.3195618867,0.7145621017,38141.9152915921,29332106.066708677
3141526,(2002 UZ30),False,0.3346223745,0.7482383761,88058.3581003896,54231473.54846572
3740494,(2016 AF193),True,0.1043650238,0.2333672878,23149.4925247078,21057834.05416549
3742875,(2016 CD137),False,0.0160160338,0.0358129403,19246.4539226616,12117164.566703262
3762168,(2016 UC57),False,0.04411182,0.0986370281,19209.8320219089,64752234.00600309
3799832,(2018 EU1),False,0.0121494041,0.0271668934,79684.4193077905,56469844.85791306
2612472,612472 (2002 SQ),False,0.2848098313,0.6368541435,38142.0112004921,29332071.00096795
3368493,(2007 DW),False,0.2231284644,0.4989304142,93680.6662483848,27220027.238847427
3672459,(2014 KG39),False,0.02658,0.0594346868,48664.1302764077,18878369.628711876
3712903,(2015 EF),False,0.0116025908,0.0259441818,86552.6598531083,48040384.099053726
3781003,(2017 QF17),False,0.3051792326,0.6824015094,31925.5687501408,53112198.636172906
3994622,(2020 DV2),False,0.0253837029,0.0567596853,47183.7972606696,45025589.98580675
3342249,(2006 SC),False,0.0253837029,0.0567596853,67701.0493716455,34736492.54117186
3409433,(2008 GC110),False,0.0921626549,0.2060819612,25198.4822814663,51174999.44906549
3825491,(2018 MJ7),False,0.0620233153,0.1386883492,51903.8209074406,52129708.58119396
3838888,(2019 EO),False,0.0614546821,0.1374168468,39641.6771672062,47266886.60680301
3092144,(1996 BG1),False,0.0479242116,0.1071617948,73202.3231498896,57070250.0000422
3599405,(2012 DZ),False,0.0148099972,0.0331161605,60019.8439064184,1066006.820812985
3600563,(2012 EO3),False,0.067383719,0.1506745763,80459.6076270749,71784376.96715167
3736497,(2015 XF261),False,0.0236894499,0.0529712204,29601.8218261245,43975800.32209111
3786458,(2017 UG),False,0.008405334,0.0187948982,41696.4976201807,48115814.022909604
3825135,(2018 LV2),False,0.0231502122,0.0517654482,37475.9521001186,43476378.81357977
3435023,(2008 UB95),False,0.0291443905,0.0651688382,79385.8164954934,65360740.66566144
3599931,(2012 DV32),False,0.1160259082,0.2594418179,26286.0539369595,29453387.214127004
3740096,(2016 AX165),False,0.0628861456,0.1406176963,33088.6463879334,5724654.196436713
3745060,(2016 ET1),False,0.004411182,0.0098637028,14823.7380741109,9170110.852316923
3989813,(2020 CX1),False,0.0396784754,0.0887237683,24798.8592194701,17238026.515797023
3520662,(2010 JR34),False,0.0076657557,0.0171411509,13306.1681679635,15545534.453067813
3653537,(2013 VO5),True,0.1420872067,0.317716653,103509.0427276256,27094717.360950854
3713289,(2015 FF),False,0.0127219879,0.0284472297,73320.3676653394,54539057.65991066
3617076,(2012 VC26),False,0.0048367649,0.0108153351,25676.1943632445,33769070.836367175
3745029,(2016 EG1),False,0.0040230458,0.0089958039,55215.245153236,18913001.92457134
3748560,(2016 GE1),False,0.0121494041,0.0271668934,74821.2311919312,61737703.72355964
3802437,(2018 GC2),False,0.0116025908,0.0259441818,65878.9563192455,73269220.78353204
3843427,(2019 OV3),False,0.0373727432,0.0835679943,54597.1627004116,59048541.50799014
3447919,(2009 DE1),False,0.0327005439,0.0731206391,65861.1904307742,2508262.038457094
